4;18;6;42.77
8;18;6;21.90
4;18;7;42.68
8;18;7;21.84
4;18;8;42.95
8;18;8;21.81
4;20;1;52.98
8;20;1;27.09
4;20;2;52.98
8;20;2;27.11
4;20;3;52.94
8;20;3;27.00
4;20;4;52.98
8;20;4;27.11
4;20;5;52.99
8;20;5;27.13
4;20;6;52.77
8;20;6;27.03
4;20;7;52.69
8;20;7;26.98
4;20;8;53.05
8;20;8;26.94
16;2;1;0.38
32;2;1;0.44
16;2;2;0.40
32;2;2;0.40
16;2;3;0.41
32;2;3;0.37
16;2;4;0.41
32;2;4;0.37
16;2;5;0.36
32;2;5;0.38
16;2;6;0.38
32;2;6;0.41
16;2;7;0.35
32;2;7;0.39
16;2;8;0.41
32;2;8;0.36
16;4;1;1.24
32;4;1;1.28
16;4;2;1.25
32;4;2;1.28
16;4;3;1.24
32;4;3;1.23
16;4;4;1.23
32;4;4;1.27
16;4;5;1.24
32;4;5;1.29
16;4;6;1.17
32;4;6;1.24
16;4;7;1.17
32;4;7;1.22
16;4;8;1.23
32;4;8;1.25
16;6;1;2.49
32;6;1;2.58
16;6;2;2.52
32;6;2;2.54
16;6;3;2.53
32;6;3;2.57
16;6;4;2.47
32;6;4;2.54
16;6;5;2.54
32;6;5;2.57
16;6;6;2.49
32;6;6;2.47
16;6;7;2.50
32;6;7;2.45
16;6;8;2.48
32;6;8;2.48
16;8;1;4.40
32;8;1;4.51
16;8;2;4.45
32;8;2;4.51
16;8;3;4.40
32;8;3;4.44
16;8;4;4.36
32;8;4;4.47
16;8;5;4.45
32;8;5;4.51
16;8;6;4.37
32;8;6;4.37
16;8;7;4.37
32;8;7;4.31
16;8;8;4.37
32;8;8;4.36
16;10;1;6.91
32;10;1;7.11
16;10;2;6.91
32;10;2;7.07
16;10;3;6.91
32;10;3;6.96
16;10;4;6.89
32;10;4;7.02
16;10;5;6.95
32;10;5;7.15
16;10;6;6.81
32;10;6;6.82
16;10;7;6.79
32;10;7;6.84
16;10;8;6.89
32;10;8;6.88
16;12;1;9.98
32;12;1;10.17
16;12;2;9.98
32;12;2;10.08
16;12;3;9.90
32;12;3;10.05
16;12;4;9.90
32;12;4;10.13
16;12;5;9.98
32;12;5;10.19
16;12;6;9.84
32;12;6;9.83
16;12;7;9.76
32;12;7;9.76
16;12;8;9.88
32;12;8;9.84
16;14;1;13.55
32;14;1;13.82
16;14;2;13.57
32;14;2;13.70
16;14;3;13.47
32;14;3;13.65
16;14;4;13.42
32;14;4;13.76
16;14;5;13.59
32;14;5;13.85
16;14;6;13.32
32;14;6;13.34
16;14;7;13.28
32;14;7;13.29
16;14;8;13.48
32;14;8;0.03
16;16;1;17.67
32;16;1;18.07
16;16;2;17.70
32;16;2;17.92
16;16;3;17.63
32;16;3;17.76
16;16;4;17.60
32;16;4;17.96
16;16;5;17.73
32;16;5;18.13
16;16;6;17.44
32;16;6;17.44
16;16;7;17.39
32;16;7;17.32
16;16;8;17.57
32;16;8;0.04
16;18;1;22.34
32;18;1;22.84
16;18;2;22.36
32;18;2;22.68
16;18;3;22.27
32;18;3;22.51
16;18;4;22.21
32;18;4;22.72
16;18;5;22.40
32;18;5;22.90
16;18;6;22.03
32;18;6;22.06
16;18;7;21.95
32;18;7;21.88
16;18;8;22.19
32;18;8;0.04
16;20;1;27.56
32;20;1;28.20
16;20;2;27.58
32;20;2;27.99
16;20;3;27.48
32;20;3;27.76
16;20;4;27.42
32;20;4;28.01
16;20;5;27.63
32;20;5;28.29
16;20;6;27.21
32;20;6;27.22
16;20;7;27.07
32;20;7;0.04
16;20;8;27.43
32;20;8;0.04
12;2;1;0.42
12;4;1;1.26
12;6;1;2.54
12;8;1;4.47
12;10;1;6.90
12;12;1;9.98
12;14;1;13.57
12;16;1;17.68
12;18;1;22.34
12;20;1;27.57
